,Player,Country,Team,Assists,Season,season_start
2999,Francis Coquelin,France,Arsenal FC,1,2011-2012,2011
3000,Simon Cox,Ireland,West Bromwich Albion,1,2011-2012,2011
3001,Scott Dann,England,Blackburn Rovers,1,2011-2012,2011
3002,Mahamadou Diarra,Mali,Fulham FC,1,2011-2012,2011
3003,Johan Djourou,Switzerland,Arsenal FC,1,2011-2012,2011
3004,David Dunn,England,Blackburn Rovers,1,2011-2012,2011
3005,Ahmed Elmohamady,Egypt,Sunderland AFC,1,2011-2012,2011
3006,Michael Essien,Ghana,Chelsea FC,1,2011-2012,2011
3007,Alejandro Faurlín,Argentina,Queens Park Rangers,1,2011-2012,2011
3008,Darren Fletcher,Scotland,Manchester United,1,2011-2012,2011
3009,Mauro Formica,Argentina,Blackburn Rovers,1,2011-2012,2011
3010,Marc-Antoine Fortuné,France,West Bromwich Albion,1,2011-2012,2011
3011,Emmanuel Frimpong,Ghana,Wolverhampton Wanderers,1,2011-2012,2011
3012,Zoltán Gera,Hungary,West Bromwich Albion,1,2011-2012,2011
3013,Darron Gibson,Ireland,Manchester United,1,2011-2012,2011
3014,Gaël Givet,France,Blackburn Rovers,1,2011-2012,2011
3015,Adam Hammill,England,Wolverhampton Wanderers,1,2011-2012,2011
3016,Jordan Henderson,England,Liverpool FC,1,2011-2012,2011
3017,Jonny Howson,England,Norwich City,1,2011-2012,2011
3018,Branislav Ivanović,Serbia,Chelsea FC,1,2011-2012,2011
3019,Carl Jenkinson,England,Arsenal FC,1,2011-2012,2011
3020,Cameron Jerome,Grenada,Stoke City,1,2011-2012,2011
3021,Billy Jones,England,West Bromwich Albion,1,2011-2012,2011
3022,David Jones,England,Wigan Athletic,1,2011-2012,2011
3023,Jordi Gómez,Spain,Wigan Athletic,1,2011-2012,2011
3024,José Enrique,Spain,Liverpool FC,1,2011-2012,2011
3025,Michael Kightly,England,Wolverhampton Wanderers,1,2011-2012,2011
3026,Laurent Koscielny,France,Arsenal FC,1,2011-2012,2011
3027,Niko Kranjčar,Croatia,Tottenham Hotspur,1,2011-2012,2011
3028,Joleon Lescott,England,Manchester City,1,2011-2012,2011
3029,Eric Lichaj,USA,Aston Villa,1,2011-2012,2011
3030,Leroy Lita,England,Swansea City,1,2011-2012,2011
3031,Jake Livermore,England,Tottenham Hotspur,1,2011-2012,2011
3032,Shane Long,Ireland,West Bromwich Albion,1,2011-2012,2011
3033,Jason Lowe,England,Blackburn Rovers,1,2011-2012,2011
3034,Romelu Lukaku,Belgium,Chelsea FC,1,2011-2012,2011
3035,Sylvain Marveaux,France,Newcastle United,1,2011-2012,2011
3036,James McArthur,Scotland,Wigan Athletic,1,2011-2012,2011
3037,James McCarthy,Ireland,Wigan Athletic,1,2011-2012,2011
3038,Nenad Milijaš,Serbia,Wolverhampton Wanderers,1,2011-2012,2011
3039,Kyle Naughton,England,Norwich City,1,2011-2012,2011
3040,Nedum Onuoha,England,Queens Park Rangers,1,2011-2012,2011
3041,Orlandi,Spain,Swansea City,1,2011-2012,2011
3042,Bradley Orr,England,Queens Park Rangers,1,2011-2012,2011
3043,Alex Oxlade-Chamberlain,England,Arsenal FC,1,2011-2012,2011
3044,Scott Parker,England,Tottenham Hotspur,1,2011-2012,2011
3045,Anthony Pilkington,Ireland,Norwich City,1,2011-2012,2011
3046,David Pizarro,Chile,Manchester City,1,2011-2012,2011
3047,Tim Ream,USA,Bolton Wanderers,1,2011-2012,2011
3048,Sam Ricketts,Wales,Bolton Wanderers,1,2011-2012,2011
3049,Liam Ridgewell,England,West Bromwich Albion,1,2011-2012,2011
3050,Jason Roberts,Grenada,Blackburn Rovers,1,2011-2012,2011
3051,Paul Robinson,England,Blackburn Rovers,1,2011-2012,2011
3052,Paul Robinson,England,Bolton Wanderers,1,2011-2012,2011
3053,Maximiliano Rodríguez,Argentina,Liverpool FC,1,2011-2012,2011
3054,Jack Rodwell,England,Everton FC,1,2011-2012,2011
3055,Conor Sammon,Ireland,Wigan Athletic,1,2011-2012,2011
3056,Sandro,Brazil,Tottenham Hotspur,1,2011-2012,2011
3057,Davide Santon,Italy,Newcastle United,1,2011-2012,2011
3058,Philippe Senderos,Switzerland,Fulham FC,1,2011-2012,2011
3059,Ryan Shawcross,England,Stoke City,1,2011-2012,2011
3060,Ryan Shotton,England,Stoke City,1,2011-2012,2011
3061,Steven Sidwell,England,Fulham FC,1,2011-2012,2011
3062,Martin Škrtel,Slovakia,Liverpool FC,1,2011-2012,2011
3063,Jay Spearing,England,Liverpool FC,1,2011-2012,2011
3064,Ronnie Stam,Netherlands,Wigan Athletic,1,2011-2012,2011
3065,Denis Stracqualursi,Argentina,Everton FC,1,2011-2012,2011
3066,Taye Taïwo,Nigeria,Queens Park Rangers,1,2011-2012,2011
3067,Neil Taylor,Wales,Swansea City,1,2011-2012,2011
3068,John Terry,England,Chelsea FC,1,2011-2012,2011
3069,Michael Turner,England,Sunderland AFC,1,2011-2012,2011
3070,Matthew Upson,England,Stoke City,1,2011-2012,2011
3071,David Vaughan,Wales,Sunderland AFC,1,2011-2012,2011
3072,Thomas Vermaelen,Belgium,Arsenal FC,1,2011-2012,2011
3073,Sam Vokes,Wales,Wolverhampton Wanderers,1,2011-2012,2011
3074,Kyle Walker,England,Tottenham Hotspur,1,2011-2012,2011
3075,Elliott Ward,England,Norwich City,1,2011-2012,2011
3076,Stephen Ward,Ireland,Wolverhampton Wanderers,1,2011-2012,2011
3077,Glenn Whelan,Ireland,Stoke City,1,2011-2012,2011
3078,Zak Whitbread,USA,Norwich City,1,2011-2012,2011
3079,Aaron Wilbraham,England,Norwich City,1,2011-2012,2011
3080,Marc Wilson,Ireland,Stoke City,1,2011-2012,2011
3081,Eden Hazard,Belgium,Chelsea FC,13,2012-2013,2012
3082,Juan Mata,Spain,Chelsea FC,13,2012-2013,2012
3083,Santi Cazorla,Spain,Arsenal FC,12,2012-2013,2012
3084,Wayne Rooney,England,Manchester United,11,2012-2013,2012
3085,Theo Walcott,England,Arsenal FC,11,2012-2013,2012
3086,Lukas Podolski,Germany,Arsenal FC,10,2012-2013,2012
3087,Robin van Persie,Netherlands,Manchester United,10,2012-2013,2012
3088,David Silva,Spain,Manchester City,9,2012-2013,2012
3089,Steven Gerrard,England,Liverpool FC,9,2012-2013,2012
3090,Jean Beausejour,Chile,Wigan Athletic,8,2012-2013,2012
3091,Shaun Maloney,Scotland,Wigan Athletic,8,2012-2013,2012
3092,Carlos Tévez,Argentina,Manchester City,8,2012-2013,2012
3093,Damien Duff,Ireland,Fulham FC,7,2012-2013,2012
3094,Aaron Lennon,England,Tottenham Hotspur,7,2012-2013,2012
3095,Jobi McAnuff,Jamaica,Reading FC,7,2012-2013,2012
3096,Bryan Ruiz,Costa Rica,Fulham FC,7,2012-2013,2012
3097,Jonathan de Guzmán,Netherlands,Swansea City,6,2012-2013,2012
3098,Marouane Fellaini,Belgium,Everton FC,6,2012-2013,2012
3099,Fernando Torres,Spain,Chelsea FC,6,2012-2013,2012
3100,Samir Nasri,France,Manchester City,6,2012-2013,2012
3101,Pablo Hernández,Spain,Swansea City,6,2012-2013,2012
3102,Steven Pienaar,South Africa,Everton FC,6,2012-2013,2012
3103,Jay Rodriguez,England,Southampton FC,6,2012-2013,2012
3104,Robert Snodgrass,Scotland,Norwich City,6,2012-2013,2012
3105,Ashley Westwood,England,Aston Villa,6,2012-2013,2012
3106,Leighton Baines,England,Everton FC,5,2012-2013,2012
3107,Andy Carroll,England,West Ham United,5,2012-2013,2012
3108,Séamus Coleman,Ireland,Everton FC,5,2012-2013,2012
3109,Stewart Downing,England,Liverpool FC,5,2012-2013,2012
3110,Patrice Evra,France,Manchester United,5,2012-2013,2012
3111,Adam Johnson,England,Sunderland AFC,5,2012-2013,2012
3112,Glen Johnson,England,Liverpool FC,5,2012-2013,2012
3113,Arouna Koné,Ivory Coast,Wigan Athletic,5,2012-2013,2012
3114,Adam Lallana,England,Southampton FC,5,2012-2013,2012
3115,Philippe Coutinho,Brazil,Liverpool FC,5,2012-2013,2012
3116,Stéphane Sessègnon,Benin,Sunderland AFC,5,2012-2013,2012
3117,Gylfi Sigurðsson,Iceland,Tottenham Hotspur,5,2012-2013,2012
3118,Luis Suárez,Uruguay,Liverpool FC,5,2012-2013,2012
3119,Antonio Valencia,Ecuador,Manchester United,5,2012-2013,2012
3120,Gabriel Agbonlahor,England,Aston Villa,4,2012-2013,2012
3121,Victor Anichebe,Nigeria,Everton FC,4,2012-2013,2012
3122,Gareth Bale,Wales,Tottenham Hotspur,4,2012-2013,2012
3123,Christian Benteke,Belgium,Aston Villa,4,2012-2013,2012
3124,Michael Carrick,England,Manchester United,4,2012-2013,2012
3125,Peter Crouch,England,Stoke City,4,2012-2013,2012
3126,Clint Dempsey,USA,Tottenham Hotspur,4,2012-2013,2012
3127,Nathan Dyer,England,Swansea City,4,2012-2013,2012
3128,Edin Džeko,Bosnia-Herzegovina,Manchester City,4,2012-2013,2012
3129,Ian Harte,Ireland,Reading FC,4,2012-2013,2012
3130,Jordan Henderson,England,Liverpool FC,4,2012-2013,2012
3131,Tom Huddlestone,England,Tottenham Hotspur,4,2012-2013,2012
3132,José Enrique,Spain,Liverpool FC,4,2012-2013,2012
3133,Rickie Lambert,England,Southampton FC,4,2012-2013,2012
3134,Sebastian Larsson,Sweden,Sunderland AFC,4,2012-2013,2012
3135,Shane Long,Ireland,West Bromwich Albion,4,2012-2013,2012
3136,Romelu Lukaku,Belgium,West Bromwich Albion,4,2012-2013,2012
3137,Sylvain Marveaux,France,Newcastle United,4,2012-2013,2012
3138,James Morrison,Scotland,West Bromwich Albion,4,2012-2013,2012
3139,Alex Oxlade-Chamberlain,England,Arsenal FC,4,2012-2013,2012
3140,Ricardo Vaz Tê,Portugal,West Ham United,4,2012-2013,2012
3141,Nicky Shorey,England,Reading FC,4,2012-2013,2012
3142,Adel Taarabt,Morocco,Queens Park Rangers,4,2012-2013,2012
3143,Yaya Touré,Ivory Coast,Manchester City,4,2012-2013,2012
3144,Kyle Walker,England,Tottenham Hotspur,4,2012-2013,2012
3145,Danny Welbeck,England,Manchester United,4,2012-2013,2012
3146,Hope Akpan,Nigeria,Reading FC,3,2012-2013,2012
3147,Azpilicueta,Spain,Chelsea FC,3,2012-2013,2012
3148,Gareth Barry,England,Manchester City,3,2012-2013,2012
3149,Elliott Bennett,Jamaica,Norwich City,3,2012-2013,2012
3150,Dimitar Berbatov,Bulgaria,Manchester United,3,2012-2013,2012
3151,Chris Brunt,Northern Ireland,West Bromwich Albion,3,2012-2013,2012
3152,Jermain Defoe,England,Tottenham Hotspur,3,2012-2013,2012
3153,Graham Dorrans,Scotland,West Bromwich Albion,3,2012-2013,2012
3154,Gervinho,Ivory Coast,Arsenal FC,3,2012-2013,2012
3155,Kieran Gibbs,England,Arsenal FC,3,2012-2013,2012
3156,Ryan Giggs,Wales,Manchester United,3,2012-2013,2012
3157,Olivier Giroud,France,Arsenal FC,3,2012-2013,2012
3158,Javier Hernández,Mexico,Manchester United,3,2012-2013,2012
3159,Grant Holt,England,Norwich City,3,2012-2013,2012
3160,Wes Hoolahan,Ireland,Norwich City,3,2012-2013,2012
3161,Cameron Jerome,Grenada,Stoke City,3,2012-2013,2012
3162,Shinji Kagawa,Japan,Manchester United,3,2012-2013,2012
3163,Matthew Lowton,England,Aston Villa,3,2012-2013,2012
3164,Stéphane M'bia,Cameroon,Queens Park Rangers,3,2012-2013,2012
3165,James McClean,Ireland,Sunderland AFC,3,2012-2013,2012
3166,Mikel Arteta,Spain,Arsenal FC,3,2012-2013,2012
3167,James Milner,England,Manchester City,3,2012-2013,2012
3168,Kevin Mirallas,Belgium,Everton FC,3,2012-2013,2012
3169,Charles N'Zogbia,France,Aston Villa,3,2012-2013,2012
3170,Mark Noble,England,West Ham United,3,2012-2013,2012
3171,Joey O'Brien,Ireland,West Ham United,3,2012-2013,2012
3172,Peter Odemwingie,Nigeria,West Bromwich Albion,3,2012-2013,2012
3173,Oscar,Brazil,Chelsea FC,3,2012-2013,2012
3174,Ji-Sung Park,South Korea,Queens Park Rangers,3,2012-2013,2012
3175,Anthony Pilkington,Ireland,Norwich City,3,2012-2013,2012
3176,Rafael,Brazil,Manchester United,3,2012-2013,2012
3177,Ramires,Brazil,Chelsea FC,3,2012-2013,2012
3178,Sascha Riether,Germany,Fulham FC,3,2012-2013,2012
3179,Wayne Routledge,England,Swansea City,3,2012-2013,2012
3180,Daniel Sturridge,England,Liverpool FC,3,2012-2013,2012
3181,Matthew Taylor,England,West Ham United,3,2012-2013,2012
3182,Glenn Whelan,Ireland,Stoke City,3,2012-2013,2012
3183,Jack Wilshere,England,Arsenal FC,3,2012-2013,2012
3184,Ashley Young,England,Manchester United,3,2012-2013,2012
3185,Charlie Adam,Scotland,Stoke City,2,2012-2013,2012
3186,Sergio Agüero,Argentina,Manchester City,2,2012-2013,2012
3187,Sébastien Bassong,Cameroon,Norwich City,2,2012-2013,2012
3188,Hatem Ben Arfa,France,Newcastle United,2,2012-2013,2012
3189,Joe Bennett,England,Aston Villa,2,2012-2013,2012
3190,Yohan Cabaye,France,Newcastle United,2,2012-2013,2012
3191,Gary Cahill,England,Chelsea FC,2,2012-2013,2012
3192,Papiss Demba Cissé,Senegal,Newcastle United,2,2012-2013,2012
3193,Tom Cleverley,England,Manchester United,2,2012-2013,2012
3194,Gaël Clichy,France,Manchester City,2,2012-2013,2012
3195,Nathaniel Clyne,England,Southampton FC,2,2012-2013,2012
3196,Ashley Cole,England,Chelsea FC,2,2012-2013,2012
3197,David Luiz,Brazil,Chelsea FC,2,2012-2013,2012
3198,Ben Davies,Wales,Swansea City,2,2012-2013,2012
3199,Guy Demel,Ivory Coast,West Ham United,2,2012-2013,2012
3200,Franco Di Santo,Argentina,Wigan Athletic,2,2012-2013,2012
3201,Roger Espinoza,Honduras,Wigan Athletic,2,2012-2013,2012
3202,Jonny Evans,Northern Ireland,Manchester United,2,2012-2013,2012
3203,Alejandro Faurlín,Argentina,Queens Park Rangers,2,2012-2013,2012
3204,Marc-Antoine Fortuné,France,West Bromwich Albion,2,2012-2013,2012
3205,Craig Gardner,England,Sunderland AFC,2,2012-2013,2012
3206,Danny Graham,England,Swansea City,2,2012-2013,2012
3207,Brett Holman,Australia,Aston Villa,2,2012-2013,2012
3208,Phil Jagielka,England,Everton FC,2,2012-2013,2012
3209,Matthew Jarvis,England,West Ham United,2,2012-2013,2012
3210,Javi Garrido,Spain,Norwich City,2,2012-2013,2012
3211,Bradley Johnson,England,Norwich City,2,2012-2013,2012
3212,Billy Jones,England,West Bromwich Albion,2,2012-2013,2012
3213,Kenwyne Jones,Trinidad & Tobago,Stoke City,2,2012-2013,2012
3214,Alexander Kačaniklić,Sweden,Fulham FC,2,2012-2013,2012
3215,Jimmy Kébé,France,Reading FC,2,2012-2013,2012
3216,Sung-yueng Ki,South Korea,Swansea City,2,2012-2013,2012
3217,Aleksandar Kolarov,Serbia,Manchester City,2,2012-2013,2012
3218,Frank Lampard,England,Chelsea FC,2,2012-2013,2012
3219,Adam Le Fondre,England,Reading FC,2,2012-2013,2012
3220,Modibo Maïga,Mali,West Ham United,2,2012-2013,2012
3221,James McArthur,Scotland,Wigan Athletic,2,2012-2013,2012
3222,Gareth McAuley,Northern Ireland,West Bromwich Albion,2,2012-2013,2012
3223,James McCarthy,Ireland,Wigan Athletic,2,2012-2013,2012
3224,George McCartney,Northern Ireland,West Ham United,2,2012-2013,2012
3225,Garath McCleary,Jamaica,Reading FC,2,2012-2013,2012
3226,Michu,Spain,Swansea City,2,2012-2013,2012
3227,Luke Moore,England,Swansea City,2,2012-2013,2012
3228,Youssuf Mulumbu,Congo DR,West Bromwich Albion,2,2012-2013,2012
3229,Nani,Portugal,Manchester United,2,2012-2013,2012
3230,Kevin Nolan,England,West Ham United,2,2012-2013,2012
3231,Gary O'Neil,England,West Ham United,2,2012-2013,2012
3232,Gabriel Obertan,France,Newcastle United,2,2012-2013,2012
3233,Leon Osman,England,Everton FC,2,2012-2013,2012
3234,Jason Puncheon,England,Southampton FC,2,2012-2013,2012
3235,Gastón Ramírez,Uruguay,Southampton FC,2,2012-2013,2012
3236,Aaron Ramsey,Wales,Arsenal FC,2,2012-2013,2012
3237,John Arne Riise,Norway,Fulham FC,2,2012-2013,2012
3238,Markus Rosenberg,Sweden,West Bromwich Albion,2,2012-2013,2012
3239,Sandro,Brazil,Tottenham Hotspur,2,2012-2013,2012
3240,Davide Santon,Italy,Newcastle United,2,2012-2013,2012
3241,Steven Sidwell,England,Fulham FC,2,2012-2013,2012
3242,Moussa Sissoko,France,Newcastle United,2,2012-2013,2012
3243,Raheem Sterling,England,Liverpool FC,2,2012-2013,2012
3244,Yacouba Sylla,Mali,Aston Villa,2,2012-2013,2012
3245,Jan Vertonghen,Belgium,Tottenham Hotspur,2,2012-2013,2012
3246,Jon Walters,Ireland,Stoke City,2,2012-2013,2012
3247,Andreas Weimann,Austria,Aston Villa,2,2012-2013,2012
3248,Pablo Zabaleta,Argentina,Manchester City,2,2012-2013,2012
3249,Emmanuel Adebayor,Togo,Tottenham Hotspur,1,2012-2013,2012
3250,Kemy Agustien,Curaçao,Swansea City,1,2012-2013,2012
3251,Sammy Ameobi,England,Newcastle United,1,2012-2013,2012
3252,Shola Ameobi,Nigeria,Newcastle United,1,2012-2013,2012
3253,Anderson,Brazil,Manchester United,1,2012-2013,2012
3254,Àngel Rangel,Spain,Swansea City,1,2012-2013,2012
3255,Vurnon Anita,Curaçao,Newcastle United,1,2012-2013,2012
3256,Barry Bannan,Scotland,Aston Villa,1,2012-2013,2012
3257,Leon Barnett,England,Norwich City,1,2012-2013,2012
3258,Yossi Benayoun,Israel,West Ham United,1,2012-2013,2012
3259,Nick Blackman,Barbados,Reading FC,1,2012-2013,2012
3260,Bosingwa,Portugal,Queens Park Rangers,1,2012-2013,2012
3261,Alexander Büttner,Netherlands,Manchester United,1,2012-2013,2012
3262,Geoff Cameron,USA,Stoke City,1,2012-2013,2012
3263,Carlos Cuéllar,Spain,Sunderland AFC,1,2012-2013,2012
3264,Jamie Carragher,England,Liverpool FC,1,2012-2013,2012
3265,Tom Carroll,England,Tottenham Hotspur,1,2012-2013,2012
3266,Carlton Cole,England,West Ham United,1,2012-2013,2012
3267,James Collins,Wales,West Ham United,1,2012-2013,2012
3268,Fabricio Coloccini,Argentina,Newcastle United,1,2012-2013,2012
3269,Steven Davis,Northern Ireland,Southampton FC,1,2012-2013,2012
3270,Ashkan Dejagah,Iran,Fulham FC,1,2012-2013,2012
3271,Mousa Dembélé,Belgium,Tottenham Hotspur,1,2012-2013,2012
3272,Samba Diakité,Mali,Queens Park Rangers,1,2012-2013,2012
3273,Sylvain Distin,France,Everton FC,1,2012-2013,2012
3274,Rob Elliot,England,Newcastle United,1,2012-2013,2012
3275,Rio Ferdinand,England,Manchester United,1,2012-2013,2012
3276,Shane Ferguson,Northern Ireland,Newcastle United,1,2012-2013,2012
3277,Maynor Figueroa,Honduras,Wigan Athletic,1,2012-2013,2012
3278,Steven Fletcher,Scotland,Sunderland AFC,1,2012-2013,2012
3279,Danny Fox,Scotland,Southampton FC,1,2012-2013,2012
3280,Emmanuel Frimpong,Ghana,Fulham FC,1,2012-2013,2012
3281,Zoltán Gera,Hungary,West Bromwich Albion,1,2012-2013,2012
3282,Darron Gibson,Ireland,Everton FC,1,2012-2013,2012
3283,Granero,Spain,Queens Park Rangers,1,2012-2013,2012
3284,Guly,Brazil,Southampton FC,1,2012-2013,2012
3285,Danny Guthrie,England,Reading FC,1,2012-2013,2012
3286,Clint Hill,England,Queens Park Rangers,1,2012-2013,2012
3287,Junior Hoilett,Canada,Queens Park Rangers,1,2012-2013,2012
3288,Lewis Holtby,Germany,Tottenham Hotspur,1,2012-2013,2012
3289,Jonny Howson,England,Norwich City,1,2012-2013,2012
3290,Jordon Ibe,England,Liverpool FC,1,2012-2013,2012
3291,Stephen Ireland,Ireland,Aston Villa,1,2012-2013,2012
3292,Branislav Ivanović,Serbia,Chelsea FC,1,2012-2013,2012
3293,Gonzalo Jara,Chile,West Bromwich Albion,1,2012-2013,2012
3294,Nikica Jelavić,Croatia,Everton FC,1,2012-2013,2012
3295,Phil Jones,England,Manchester United,1,2012-2013,2012
3296,Jordi Gómez,Spain,Wigan Athletic,1,2012-2013,2012
3297,Júlio César,Brazil,Queens Park Rangers,1,2012-2013,2012
3298,Kei Kamara,Sierra Leone,Norwich City,1,2012-2013,2012
3299,Jem Karacan,Turkey,Reading FC,1,2012-2013,2012
3300,Michael Kightly,England,Stoke City,1,2012-2013,2012
3301,Laurent Koscielny,France,Arsenal FC,1,2012-2013,2012
3302,Tim Krul,Netherlands,Newcastle United,1,2012-2013,2012
3303,Eric Lichaj,USA,Aston Villa,1,2012-2013,2012
3304,Lucas Leiva,Brazil,Liverpool FC,1,2012-2013,2012
3305,Lucas Piazón,Brazil,Chelsea FC,1,2012-2013,2012
3306,Marko Marin,Germany,Chelsea FC,1,2012-2013,2012
3307,Victor Moses,Nigeria,Wigan Athletic,1,2012-2013,2012
3308,Alfred N'Diaye,Senegal,Sunderland AFC,1,2012-2013,2012
3309,Nacho Monreal,Spain,Arsenal FC,1,2012-2013,2012
3310,Steven Naismith,Scotland,Everton FC,1,2012-2013,2012
3311,Kyle Naughton,England,Tottenham Hotspur,1,2012-2013,2012
3312,Phil Neville,England,Everton FC,1,2012-2013,2012
3313,John O'Shea,Ireland,Sunderland AFC,1,2012-2013,2012
3314,Jonas Olsson,Sweden,West Bromwich Albion,1,2012-2013,2012
3315,Bryan Oviedo,Costa Rica,Everton FC,1,2012-2013,2012
3316,Scott Parker,England,Tottenham Hotspur,1,2012-2013,2012
3317,Alex Pearce,Ireland,Reading FC,1,2012-2013,2012
3318,Mladen Petrić,Croatia,Fulham FC,1,2012-2013,2012
3319,Goran Popov,North Macedonia,West Bromwich Albion,1,2012-2013,2012
3320,Liam Ridgewell,England,West Bromwich Albion,1,2012-2013,2012
3321,Jason Roberts,Grenada,Reading FC,1,2012-2013,2012
3322,Hal Robson-Kanu,Wales,Reading FC,1,2012-2013,2012
3323,Hugo Rodallega,Colombia,Fulham FC,1,2012-2013,2012
3324,Danny Rose,England,Sunderland AFC,1,2012-2013,2012
3325,Tomáš Rosický,Czech Republic,Arsenal FC,1,2012-2013,2012
3326,Nuri Şahin,Turkey,Liverpool FC,1,2012-2013,2012
3327,Paul Scharner,Austria,Wigan Athletic,1,2012-2013,2012
3328,Paul Scholes,England,Manchester United,1,2012-2013,2012
3329,Ryan Shawcross,England,Stoke City,1,2012-2013,2012
3330,Ryan Shotton,England,Stoke City,1,2012-2013,2012
3331,Jay Tabb,England,Reading FC,1,2012-2013,2012
3332,Cheick Tioté,Ivory Coast,Newcastle United,1,2012-2013,2012
3333,James Tomkins,England,West Ham United,1,2012-2013,2012
3334,Andros Townsend,England,Tottenham Hotspur,1,2012-2013,2012
3335,Tolis Vellios,Greece,Everton FC,1,2012-2013,2012
3336,Shaun Wright-Phillips,England,Queens Park Rangers,1,2012-2013,2012
3337,Bobby Zamora,England,Queens Park Rangers,1,2012-2013,2012
3338,Steven Gerrard,England,Liverpool FC,14,2013-2014,2013
3339,Luis Suárez,Uruguay,Liverpool FC,13,2013-2014,2013
3340,David Silva,Spain,Manchester City,10,2013-2014,2013
3341,Rickie Lambert,England,Southampton FC,10,2013-2014,2013
3342,Wayne Rooney,England,Manchester United,10,2013-2014,2013
3343,Christian Eriksen,Denmark,Tottenham Hotspur,9,2013-2014,2013
3344,Mesut Özil,Germany,Arsenal FC,9,2013-2014,2013
3345,Yaya Touré,Ivory Coast,Manchester City,9,2013-2014,2013
3346,Olivier Giroud,France,Arsenal FC,8,2013-2014,2013
3347,Samir Nasri,France,Manchester City,8,2013-2014,2013
3348,Marko Arnautović,Austria,Stoke City,7,2013-2014,2013
3349,Steven Davis,Northern Ireland,Southampton FC,7,2013-2014,2013
3350,Eden Hazard,Belgium,Chelsea FC,7,2013-2014,2013
3351,Jesús Navas,Spain,Manchester City,7,2013-2014,2013
3352,Aleksandar Kolarov,Serbia,Manchester City,7,2013-2014,2013
3353,Adam Lallana,England,Southampton FC,7,2013-2014,2013
3354,Kevin Mirallas,Belgium,Everton FC,7,2013-2014,2013
3355,Pablo Hernández,Spain,Swansea City,7,2013-2014,2013
3356,Philippe Coutinho,Brazil,Liverpool FC,7,2013-2014,2013
3357,Aaron Ramsey,Wales,Arsenal FC,7,2013-2014,2013
3358,Santi Cazorla,Spain,Arsenal FC,7,2013-2014,2013
3359,Daniel Sturridge,England,Liverpool FC,7,2013-2014,2013
3360,Gabriel Agbonlahor,England,Aston Villa,6,2013-2014,2013
3361,Sergio Agüero,Argentina,Manchester City,6,2013-2014,2013
3362,Jordan Henderson,England,Liverpool FC,6,2013-2014,2013
3363,Adam Johnson,England,Sunderland AFC,6,2013-2014,2013
3364,Romelu Lukaku,Belgium,Everton FC,6,2013-2014,2013
3365,Jonjo Shelvey,England,Swansea City,6,2013-2014,2013
3366,Moussa Sissoko,France,Newcastle United,6,2013-2014,2013
3367,Raheem Sterling,England,Liverpool FC,6,2013-2014,2013
3368,Peter Whittingham,England,Cardiff City,6,2013-2014,2013
3369,Pablo Zabaleta,Argentina,Manchester City,6,2013-2014,2013
3370,Chris Brunt,Northern Ireland,West Bromwich Albion,5,2013-2014,2013
3371,Peter Crouch,England,Stoke City,5,2013-2014,2013
3372,Jonathan de Guzmán,Netherlands,Swansea City,5,2013-2014,2013
3373,Fernando Torres,Spain,Chelsea FC,5,2013-2014,2013
3374,Juan Mata,Spain,Manchester United,5,2013-2014,2013
3375,James Milner,England,Manchester City,5,2013-2014,2013
3376,Jordon Mutch,England,Cardiff City,5,2013-2014,2013
3377,Kevin Nolan,England,West Ham United,5,2013-2014,2013
3378,Jack Wilshere,England,Arsenal FC,5,2013-2014,2013
3379,Charlie Adam,Scotland,Stoke City,4,2013-2014,2013
3380,Emmanuel Adebayor,Togo,Tottenham Hotspur,4,2013-2014,2013
3381,Marc Albrighton,England,Aston Villa,4,2013-2014,2013
3382,Leighton Baines,England,Everton FC,4,2013-2014,2013
3383,Yannick Bolasie,Congo DR,Crystal Palace,4,2013-2014,2013
3384,Wilfried Bony,Ivory Coast,Swansea City,4,2013-2014,2013
3385,Nathaniel Clyne,England,Southampton FC,4,2013-2014,2013
3386,Edin Džeko,Bosnia-Herzegovina,Manchester City,4,2013-2014,2013
3387,Johan Elmander,Sweden,Norwich City,4,2013-2014,2013
3388,Samuel Eto'o,Cameroon,Chelsea FC,4,2013-2014,2013
3389,Emanuele Giaccherini,Italy,Sunderland AFC,4,2013-2014,2013
3390,Aaron Lennon,England,Tottenham Hotspur,4,2013-2014,2013
3391,Jake Livermore,England,Hull City,4,2013-2014,2013
3392,Nemanja Matić,Serbia,Chelsea FC,4,2013-2014,2013
3393,Oscar,Brazil,Chelsea FC,4,2013-2014,2013
3394,Leon Osman,England,Everton FC,4,2013-2014,2013
3395,Wayne Routledge,England,Swansea City,4,2013-2014,2013
3396,Theo Walcott,England,Arsenal FC,4,2013-2014,2013
3397,Sone Aluko,Nigeria,Hull City,3,2013-2014,2013
3398,Álvaro Negredo,Spain,Manchester City,3,2013-2014,2013
3399,Morgan Amalfitano,France,West Bromwich Albion,3,2013-2014,2013
3400,Victor Anichebe,Nigeria,West Bromwich Albion,3,2013-2014,2013
3401,Gareth Barry,England,Everton FC,3,2013-2014,2013
3402,Hatem Ben Arfa,France,Newcastle United,3,2013-2014,2013
3403,Yohan Cabaye,France,Newcastle United,3,2013-2014,2013
3404,Fraizer Campbell,England,Cardiff City,3,2013-2014,2013
3405,Nacer Chadli,Belgium,Tottenham Hotspur,3,2013-2014,2013
